id,text,emotions,Degree
818,"A star dies, a family feud is born",sadness,100
819,"Carter was a disaster, said Ford",anger,100
820,Super Bowl MVP Manning insists he's one of the guys,joy,25
821,Personal health: the importance of knowing what the doctor is talking about,fear,25
822,Israel's Peretz urges halt to contentious Jerusalem construction,anger,25
823,Peter Jackson will never work for me again,anger,100
824,U.S. keeps Iran options open,joy,25
825,European shares hit fresh highs,joy,100
826,"For women, nothing's like the smell of men's sweat",surprise,100
827,Looking beyond the iPhone,surprise,25
828,Freed kidnap suspect: my terror at police raid,fear,100
829,"Far away, Super Bowl's losers will be champs",joy,100
830,Woman dies after water binge,sadness,100
831,Mancuso sparks U.S. celebrations,joy,100
832,ASEAN urges North Korea resolution,fear,25
833,Late penalty costs Roma the points,sadness,25
834,Mistrial declared in teacher-student rape case,sadness,100
835,'Bookworm Adventures' wordsmith's joy,joy,100
836,Kylie's love split,sadness,100
837,iPod good for video games,joy,25
838,Review: virtual 'American Idol' hits right notes,joy,100
839,Leo battles himself,joy,25
840,Attorneys point fingers in fight between Ryan O'Neal and son,anger,100
841,John Grisham set for court drama,fear,25
842,"Bill Gates and Craig Mundie: vista is Secure, employees are not",surprise,25
843,Iraqis fault delayed U.S. plan in attack,anger,25
844,Boy Scouts blamed for starting wildfire,fear,100
845,China urges UN action on N Korea,fear,25
846,"Scorpion on a plane, a pantful of pain",fear,100
847,Male sweat boosts women's hormone levels,surprise,100
848,Mbeki on the big visit from the Chinese,surprise,25
849,French right nominates Sarkozy,joy,25
850,"Israeli, Lebanese clash on border",fear,100
851,North Korea claims nuclear test,fear,100
852,Talks begin on Somalia peacekeepers,joy,100
853,Action games improve eyesight,surprise,100
854,"A small part of the brain, and its profound effects",surprise,25
855,IDF shells Lebanese Army positions across northern border,fear,100
856,Thailand: missing 25 years after taking wrong bus,sadness,100
857,Ballerina sparks anti-fascist row,anger,25
858,Internet boom in China is built on virtual fun,joy,100
859,Review: PS3 pricey but impressive,joy,100
860,Machinery orders drive Asia upward,joy,100
861,'Lost's' Fox: 'I'm a liar and a cheat',disgust,100
862,Russia to strengthen its military muscle,fear,100
863,"At Libby trial, Russert of NBC gives and gets",fear,25
864,North Korea ready to discuss first steps to nuclear resolution,joy,100
865,Victim: Gunman bought drink after shooting,surprise,100
866,Ferrer victorious in Spanish duel,joy,100
867,UK workers on alert for letter bombs,fear,100
868,Did NASA accidentally kill life on Mars?,surprise,100
869,"New vaccine for cervical cancer could prove useful in men, too",joy,100
870,Search on for victims of subway collapse,sadness,100
871,Human error caused Helios crash,sadness,100
872,US to prod NATO allies for more troops to defeat Taliban,fear,100
873,Microsoft supports OpenID authentication standard,joy,25
874,No buyer in sight for Napster,sadness,25
875,"Briefly: preloaded iPods, Wal-Mart movies, Apple stores",joy,25
876,China says rich countries should take lead on global warming,sadness,25
877,North Korea may begin to dismantle nukes,joy,100
878,Tracking down hi-tech crime,joy,100
879,Barack Obama formally announces bid for president,joy,25
880,Kidnappers seize two in Nigeria,fear,100
881,"Indonesia may sell, not give, bird flu virus to scientists",fear,25
882,Attack video saddens "friendly fire" widow,sadness,100
883,Europe retain trophy with big win,joy,100
884,Cutting edge accessories for digital music players,joy,25
885,Ice storm descends on central U.S.,fear,100
886,Snow brings travel misery to England,sadness,100
887,"Indonesia flood forces 340,000 from homes",sadness,100
888,Iraqi health minister seized in raid,surprise,100
889,Ice storm brings chaos in U.S.,fear,100
890,Stinky flower mystery solved,joy,100
891,Congressman rebukes U.S. allies for lack of support in Afghanistan,anger,100
892,Roddick overcomes Federer in final,joy,25
893,Prehistoric Romeo and Juliet discovered,joy,100
894,Donald and Goydos share Sony lead,joy,25
895,U.S. and Iraqis are wrangling over war plans,fear,100
896,Sea search for missing Microsoft scientist,sadness,100
897,Iran to Hit US Interests if Attacked,fear,100
898,Blair: Terror battle will be long,fear,100
899,Bear cub returned to the wilderness,joy,100
900,Carrefour sales growth falls short,sadness,25
901,"Allied with democrats, Lieberman easily aligns with Republicans",surprise,25
902,"In the Rockies, pines die and bears feel it",sadness,100
903,Iran to strike US interests if attacked,fear,100
904,"Nipple covers, other star secrets",disgust,25
905,Apple: no iTunes for you if you have Vista!,surprise,25
906,Smokestacks in a white wilderness divide Iceland,sadness,25
907,That'll cost ya,anger,25
908,Botched hangings in Iraq speed sectarianism,fear,100
909,Male sweat raises female hormones,surprise,100
910,7 GOP senators to force debate on troops in Iraq,joy,25
911,Bangladesh ends curfew amid unrest,joy,100
912,Italy's dispute with US over Iraq shooting,anger,100
913,Here come the Globes!,joy,100
914,Snow causes transport chaos in Britain,sadness,100
915,Snow causes airport closures in Britain,sadness,100
916,"Second opinion: girl or boy? as fertility technology advances, so does an ethical debate",surprise,25
917,Heavy snow causes travel chaos and shuts schools,fear,100
918,Barbaro's legacy: saving other horses,joy,25
919,Luxury digs in South Carolina's Lowcountry,joy,25
920,Dozens killed in Baghdad bombing,sadness,100
921,Ice storms kill 21 across nation,sadness,100
922,De Villiers takes over Dakar lead,joy,100
923,Vietnam becomes WTO's 150th member,joy,100
924,South African trio share advantage,joy,100
925,Observatory: poison begets poison,fear,25
926,Action intensity boosts vision,joy,100
927,Why the smell of a man's armpit is a turn-on,surprise,100
928,Nokia 5300 Xpress Music,joy,25
929,"Dell to cut bonuses, trim management",sadness,100
930,"Second drop in cancer deaths could point to a trend, researchers say",surprise,25
931,TV game shows go interactive,joy,25
932,Boy missing since 2002 found alive,joy,100
933,"US, North Korea signed nuclear memo",joy,100
934,Russia honors Sputnik designer,joy,100
935,"In Kenya's capital, a sense that danger is ever stronger",fear,100
936,"Bill, thanks for the RSA memories... and laughs",joy,100
937,Friendly fire pilot 'experienced',sadness,25
938,MySpace welcomes French friends,joy,100
939,Airlines: UK airport runway unsafe,fear,100
940,The amounts you have to pay for a bomb scare,fear,100
941,"In Egypt, Rice speaks softly",joy,25
942,"Weekly Nielsen Yvonne De Carlo, 'Munsters' star, dead",sadness,100
943,Senate votes to revoke pensions,sadness,25
944,EarthLink CEO dies at age 49,sadness,100
945,Software giant SAP misses target,sadness,100
946,Vital signs: mental abilities: folic acid may improve thinking skills,surprise,100
947,De Villiers stretches overall lead,joy,100
948,Families celebrate return of sons,joy,100
949,China detains 2 after body parts found in mail,fear,100
950,North Korea ready to discuss nuke disarmament,joy,100
951,"For women, nothing's like the smell of men's sweat",surprise,100
952,Nadal wants Australian Open crown,joy,25
953,Beijing journal: Olympic construction unearths ancient treasure trove,joy,100
954,"Chinese president arrives in Mozambique, African tour nearly over",joy,25
955,Reclusive 'Mockingbird' author attends show,joy,25
956,"Asia near pact on energy, security",joy,25
957,Philippine anti-terror law delayed until June,fear,25
958,Ex-suspect slams anti-terror laws,anger,100
959,Study detects a gene linked to Alzheimer's,joy,100
960,Panda cub makes her debut,joy,100
961,Harris haul puts South Africa on top,joy,100
962,Weight-loss drug to be sold over the counter,joy,25
963,Beckham outlines reasons for move,joy,25
964,Study finds gritty air raises heart disease risk in older women,surprise,25
965,"Venezuela, Iran fight U.S. dominance",anger,100
966,'Housewives' star Marcia Cross on bed rest,sadness,25
967,Blog: Here come the Globes!,joy,100
968,Greek police hunt embassy attackers,anger,100
969,Apple warns iTunes users to wait on Vista,surprise,25
970,Tsunami fears ease after quake,fear,100
971,China considers Eurobond reserves,joy,25
972,Underarm bowls them over,surprise,25
973,At least 130 die as blast levels Baghdad market,sadness,100
974,New McCain team made attack ads he once faulted,anger,25
975,Deaths as bird flu flares in Asia,fear,100
976,"Hamas, Fatah leaders pledge to meet until they reach agreement",joy,100
977,Officers had 'rapport' with alleged abductor,disgust,100
978,No e-Book for Harry Potter VII,sadness,25
979,Review: Nokia 5300 Xpress Music,joy,25
980,'Can't do this anymore'? Not Jack,surprise,25
981,Black hole triplets spotted,surprise,100
982,Israel weighs old city project webcast,surprise,25
983,Indonesian bird flu deaths hit 61,sadness,100
984,Somali refugees cut off from aid,sadness,100
985,Microsoft downplays Vista speech-recognition hack,joy,25
986,Next island hot spot: St. Lucia,joy,100
987,Italy to hold no-show trial of Bronx GI in Iraq slay,anger,25
988,Rescued boys parents hail 'miracle',joy,100
989,Canadians tracked in child porn ring,disgust,100
990,Teen hacks Venezuelan government Web sites,surprise,100
991,"Russia plans new ICBMs, nuclear subs",fear,100
992,Gere cheers sex workers in AIDS fight,joy,25
993,Study: Male sweat causes female hormones to rise,surprise,100
994,Collision on icy road kills 7,sadness,100
995,Surprise: China cuts price of gas,joy,100
996,What the Godfather of Soul meant to me,joy,25
997,New Mars orbiter spots Pathfinder landing site,joy,100
998,Mass Venezuela opposition rally,anger,25
999,Glamour -- and 'Borat' -- at Golden Globes,joy,100
1000,Terror officials see Al Qaeda chiefs regaining power,fear,100
1001,"Ivrea journal: In Italian town, a civics lesson from pelting neighbors",surprise,25
1002,Iraqi sunni lands show new oil and gas promise,joy,100
1003,Princess and heir of Franz Ferdinand fights to repeal a law and gain a castle,joy,100
1004,"A film star in Kampala, conjuring aminos ghost",fear,25
1005,Militants attack U.S. base in Iraq,fear,100
1006,North Africa feared as staging ground for terror,fear,100
1007,"Iran says Sunnis, using Pakistan as base, planned fatal bombing",fear,100
1008,Anglicans rebuke U.S. branch on same-sex unions,anger,25
1009,Homemade bombs kill 65 on Indian train,sadness,100
1010,Al Qaeda chiefs are seen to regain power,fear,100
1011,Chvez threatens to jail violators of price controls,anger,100
1012,Bush declares Iran's arms role in Iraq is certain,fear,100
1013,Accord on North Korea is announced,joy,100
1014,U.S. says powerful Iraqi cleric is living in Iran,fear,100
1015,"Baghdad plan is a success, Iraq prime minister tells Bush",joy,100
1016,Iraqi sunni lands show new oil and gas promise,joy,100
1017,"Dispute over Iraqi cleric, said to have gone to Iran",anger,25
1018,Planning seen in Iraqi attacks on U.S. copters,fear,100
1019,"In the world of life-saving drugs, a growing epidemic of deadly fakes",sadness,100
1020,Basics: a mammal in winter with a furnace of her own,surprise,25
1021,"Books on science: The problems in modeling nature, with its unruly natural tendencies",surprise,25
1022,Believing scripture but playing by science's rules,surprise,25
1023,"A familiar and prescient voice, brought to life",joy,100
1024,Findings : A cool $25 million for a climate backup plan,surprise,25
1025,Call it serendipity: a missing piece of Washington's war tent is found,joy,100
1026,"Free Will: Now you have it, now you don't",surprise,25
1027,Archaeologists find signs of early chimps' tool use,surprise,100
1028,Wizardry at Harvard: physicists move light,surprise,100
1029,The summit - a slap in the face of the Palestinians,disgust,25
1030,Moscow says Palestine-Israeli contacts key to Mideast peace,joy,25
1031,Mideast summit edns with little progress,sadness,25
1032,India decries 'an act of sabotage',fear,100
1033,Pakistan-India peace talks planned despite bombings,joy,100
1034,"Czechs, Poles get missile warning",fear,100
1035,Russia warns US against missile bases in East Europe,fear,100
1036,"Cheney starts visit to Japan, Australia",joy,25
1037,China: Cheney shores up the trilateral alliance,joy,25
1038,Iraq insurgents attack US base,fear,100
1039,US soldiers die in day of violence,sadness,100
1040,Iraqi suicide attack kills two US troops as militants fight purge,sadness,100
1041,Iran reneges on nuclear payments to Russia,fear,25
1042,Top Colombia official resigns,sadness,25
1043,Colombia FM resigns after relatives' arrests for militia links,sadness,25
1044,Foreign minister of Colombia quits in scandal,disgust,25
1045,New Zealand unlikely to allow crippled Japanese whaler,sadness,25
1046,Damaged Japanese whaling ship may resume hunting off Antarctica,sadness,25
1047,Japanese whaling ship won't accept help,disgust,25
1048,Iran top N-envoy heads for Vienna for nuke talks,joy,25
1049,Victims of Air India still wait for justice,sadness,100
1050,Kanishka bombing case: Inquiry judge threatens to quit,disgust,25
1051,Judge threatens to shut down Air-India inquiry,anger,100
1052,Royal rescues presidential hopes with commanding performance,joy,100
1053,Royal seeks to revive French bid,joy,25
1054,Sarkozy comfort zone offers a royal opportunity,joy,100
1055,"Hicks first in line for trial, Bush says",fear,25
1056,Australia tells Bush to speed up Guantanamo trial,surprise,25
1057,Howard presses Bush on terror suspect,fear,100
1058,France ends toxic alert at Canadian embassy in Paris,fear,25
1059,Paris police investigate package at Canadian embassy,fear,25
1060,False alarm at Canadian embassy in Paris,fear,25
1061,Afghan forces retake town that was overrun by Taliban,joy,100
1062,Taliban seize rural district in southwest as police flee,fear,100
1063,Afghan poppy war alienates farmers,sadness,100
1064,Will North Korea honor pledge this time?,joy,25
1065,Kim Jong-il bans Japanese cars in North Korea,surprise,25
1066,Iran vs. North Korea: not all enemies are equal,anger,25
1067,Catholic archbishop outlines Anglican merger hopes,joy,25
1068,Anglican and Catholic churches could merge,joy,100
1069,US helicopter crash kills 8 troops in Afghanistan,sadness,100
1070,Eight US soldiers killed in Zabul helicopter crash,sadness,100
1071,Arroyo lauds passage of anti-terror bill,joy,100
1072,House passes anti-terrorism measure Manila,joy,100
1073,Livingstone's transport empire may extend,joy,25
1074,"London is pace-setter on congestion toll, says mayor",joy,25
1075,Protest greets congestion charge's westward push,anger,25
1076,"Thailand attacks kill three, injure 70",sadness,100
1077,Thai Govt moves to smooth over relations with south,joy,100
1078,Bombings say Muslim rebels won't negotiate,fear,100
1079,Roots of autism more complex than thought,surprise,100
1080,Largest ever autism study identifies two genetic culprits,surprise,25
1081,Canadian breakthrough offers hope on autism,joy,100
1082,Beware of peanut butter pathogens,fear,25
1083,Experts offer advice on salmonella,joy,25
1084,Experts issue new heart disease guidelines for women,joy,25
1085,"For women, aspirin a day could keep stroke away",joy,100
1086,High cholesterol raises stroke risk healthy women,fear,100
1087,Cooked chicken breasts join tainted-food recalls,fear,100
1088,Ready to eat chicken breasts recalled due to suspected listeria,fear,100
1089,Fully-cooked chicken strips recalled,surprise,100
1090,Committee debates cancer vaccine plan,surprise,25
1091,Stop cancer with a shot,joy,100
1092,1 mln birds to be vaccinated from bird flu near Moscow,joy,100
1093,Thousands tested after Russian H5N1 outbreak,fear,100
1094,Russian bird flu outbreak is deadly "Asian strain",fear,100
1095,Bernard Matthews to lay off up to 500 workers,sadness,100
1096,Matthews lays off 130 turkey workers,sadness,100
1097,Reopening bird flu-hitfactory ignores risks - poultryman,fear,100
1098,Goodbye to girlhood,sadness,25
1099,Media cited for showing girls as sex objects,anger,100
1100,Sexualisation 'harms' young girls,anger,25
1101,A shot in the arm,fear,100
1102,Thousands line up to get late flu shots,fear,100
1103,King county offering some free flu vaccines,joy,100
1104,Bush vows cooperation on health care,joy,100
1105,Health returns as hot issue in '08 race,joy,100
1106,Small-business owners find Bush health plan appealing,joy,100
1107,Pediatricians say more cord blood is needed now,fear,25
1108,Whether to save cord blood can be puzzle for parents,surprise,25
1109,Retinal implant helping blind people see again,joy,100
1110,Indonesia "will not share" flu samples,surprise,100
1111,Health Canada issues advice on canned tuna,fear,25
1112,Cholesterol link in diabetes study,sadness,25
1113,Pig cells hope for diabetes cure,surprise,100
1114,Sick hearts switch on a fetal gene,surprise,25
1115,Foetal mechanism helps heart failure,surprise,100
1116,"Planned cesareans not risk-free, group warns",fear,100
1117,Scientists tout cocoa's health benefits,joy,100
1118,Feeding your brain: new benefits found in chocolate,joy,100
1119,Some cocoa may improve brain blood flow,joy,100
1120,Lawyer for deceased Nazi-era collaborator Papon vows to bury him,anger,25
1121,"Cocoa could be antidote to age-related diseases, says new study",joy,100
1122,China denies reports of North Korean apology,surprise,25
1123,Hungarian opposition calls for vote after violence escalates,anger,100
1124,AU regrets Sudan's expulsion of UN envoy,sadness,100
1125,Bush officials: no big move in Iraq plan,fear,25
1126,Opponent is put on the spot over remarks about Clinton,surprise,25
1127,House ethics panel talks to Hastert aide,joy,25
1128,BellSouth says profit rises 30% on cingular earnings,joy,100
1129,Enron boss gets 24-year sentence,sadness,25
1130,Sony apologizes for battery recall,joy,25
1131,Google unveils do-it-yourself search engine,joy,100
1132,Firefox 2.0 hits the Web,joy,100
1133,Oracle World opens with Dell unveiling AMD-powered computers,joy,100
1134,Seahawks' QB Hasselbeck out 2-4 weeks,sadness,25
1135,Marathon winner released from hospital,joy,100
1136,Punter charged with stabbing asks to live outside state,anger,100
1137,Allmendinger joining Toyota team in NASCAR,joy,100
1138,Trying to assess the damage in Cleveland,sadness,100
1139,Bryant's boot may have salvaged Bucs' season,joy,100
1140,This week in auto racing October 27 - October 29,joy,25
1141,Merriman violation stuns ex-teammate,surprise,25
1142,Bruce revells in upset,anger,25
1143,Steelers' Roethlisberger has concussion,sadness,100
1144,Arthurs upsets Robredo in first round at the St. Petersburg Open,surprise,25
1145,Mbeki: 2010 World Cup Planning on Track,joy,25
1146,Clinical Everton show Moyes means business,joy,25
1147,MS Adds Office 2007 to Vista Coupon Program,joy,100
1148,One search does not fit all,surprise,25
1149,Apple's dark secret? The 39% claim,surprise,25
1150,Bad weather cancels men's downhill,sadness,100
1151,Cool millions for YouTube founders,joy,100
1152,"London market a shopping, dining haven",joy,100
1153,'Jackass' star marries childhood friend The secrets people reveal,joy,100
1154,Audio Slide Show: A love story lasting 61 years,joy,100
1155,Microsoft to release next generation phone,joy,100
1156,Body Shop's Roddick has Hepatitis C,sadness,100
1157,Teen allegedly armed by mom turns self in,fear,100
1158,Oxfam: action needed for Chad,joy,25
1159,Violence continues at disputed holy site,sadness,100
1160,Storm leaves behind major travel troubles,sadness,100
1161,3 U.S. troops killed hunting weapons cache,sadness,100
1162,China's 'Friends' highlights Web freedoms,joy,100
1163,NATO: Afghanistan peace 'by 2009',joy,100
1164,Alaska's northern lights captivate Japanese,joy,100
1165,Smith can't be buried until hearing,sadness,100
1166,Spacewalker sets new U.S. record,joy,100
1167,Fortune: India the Superpower? Think again,surprise,100
1168,Kerry blasts 'escalation of misguided war',anger,100
1169,Anna Nicole claimant: A prince of a guy?,surprise,25
1170,'Ronnie' and Eto'o hug and make up,joy,100
1171,Best of the Chicago Auto Show,joy,100
1172,"'Grey's,' 'Betty,' 'Scrubs' get boost",joy,100
1173,Massive mud traps dozens of families,sadness,100
1174,"Edwards blogger quits, becomes journalistic martyr",surprise,100
1175,Town packs gym to mourn 10 killed in fire,sadness,100
1176,Spain ahead although Nadal is out,joy,100
1177,ECB holds rates at 3.5 percent,joy,25
1178,Iran rejects US claims of supplying weapons in Iraq,fear,25
1179,Jakarta begins disinfection,joy,100
1180,"Rowling 'heartbroken,' 'euphoric' at 'Potter's' end",sadness,100
1181,Apple revs up Mac attacks on Vista,disgust,25
1182,Fear hinders black marrow donation,fear,100
1183,Texan allegedly joined Somalia rebel plot,anger,100
1184,"U.S. to allow 7,000 Iraqi refugees",joy,25
1185,Japan: Whaling activists 'terrorists',fear,100
1186,'Hannibal' bites the big one,surprise,25
1187,Women protest Pakistan demolition,anger,25
1188,Wii news for gamers,joy,100
1189,Democrats look beyond symbolic vote on Iraq,joy,25
1190,Portugal to vote on abortion laws,surprise,25
1191,Frustration rises as North Korea nuclear talks stall,fear,100
1192,Horse teeth give details of ancient big chill,surprise,100
1193,Scam lures victims with free puppy offer,surprise,25
1194,Two Koreas to resume talks,joy,100
1195,Mickelson driving force at masters,joy,25
1196,England opt for Bopara over Loye,joy,25
1197,Create own 'Thrillville' for a wild ride,joy,25
1198,Edwards' campaign blogger quits amid Catholic controversy,surprise,25
1199,Judge: Preserve Anna Nicole's body,sadness,25
1200,"Dolphins, sea lions may report for duty soon",joy,25
1201,Nasdaq-LSE battle nears deadline,fear,25
1202,A personal plea for HPV vaccine plan,joy,25
1203,U.S. opens door for Iraqi refugees,joy,100
1204,Swiss plane crashes at Moscow airport,sadness,100
1205,Study: napping might help heart,joy,100
1206,MySpace sales surging,joy,100
1207,"Telecoms giant slashes 12,500 jobs",sadness,100
1208,Air France KLM profit rises,joy,100
1209,Uganda parliament votes to send troops to Somalia,fear,100
1210,King and queen reign at British film awards,joy,100
1211,Murphys rule box office with 'Norbit',joy,100
1212,Thousands rally in Lebanon,fear,100
1213,Yahoo's mission quest,joy,25
1214,Area should get 3-5 inches of snow today,joy,25
1215,Miss Brazil wins lawsuit competition,joy,100
1216,"Snow wreaks havoc in East, Midwest",sadness,100
1217,The secrets people reveal,surprise,25
1218,Research supports medicinal marijuana,surprise,100
1219,All African amputee football games kick off,joy,100
1220,Group: Video shows chopper go down,sadness,100
1221,Sale of Chrysler possible,joy,25
1222,Russia condemns terrorist acts on buses outside Beirut,sadness,100
1223,Technology may save India's river dolphins,joy,100
1224,Airbus A380 superjumbo takes off,joy,100
1225,Naps are great for chaps,joy,100
1226,Female astronaut sets record,joy,100
1227,Corn stoves popping up in U.S. homes,surprise,25
1228,Iraq closes borders with Syria and Iran,sadness,100
1229,The troubling ending of 'The Departed',sadness,25
1230,Vietnamese bank plans IPO listing,joy,25
1231,Toyota's Scion parks in Second Life,surprise,25
1232,Obama will run in 2008,joy,100
1233,'Cagney& Lacey' finally coming to DVD,joy,100
1234,Merkel: Stop Iran,fear,100
1235,Salt Lake City mall shooter was teenager,sadness,100
1236,Female astronaut sets record,joy,100
1237,Oil holds at $58,joy,25
1238,Obama announces presidential bid,joy,25
1239,Tell your boss: Naps are good for you,joy,100
1240,Serbia rejects United Nation's Kosovo plan,anger,25
1241,Amish discuss shootings,sadness,25
1242,"Jail me, I ate Ivory Coast chocolate",surprise,25
1243,Can North Korea be trusted?,fear,25
1244,Tourism lags in Bush's hometown,sadness,25
1245,Astronaut's arrest tests NASA's mettle,surprise,100
1246,Man gets second chance at space ride,joy,100
1247,"Go ahead, take a nap, science says",surprise,100
1248,Weekly Nielsen will 'Lost' find its way back?,joy,25
1249,Brith Airways baggage charges cause confusion,surprise,25
1250,Indonesian with bird flu dies,sadness,100
1251,St. Louis poised for entertainment upswing,joy,100
1252,New York City may ban iPods while crossing street,surprise,25
1253,Boy allegedly told to kill by mom gives up,sadness,100
1254,Gray wolves off endangered list,joy,100
1255,Vista's hyped security will be tested,joy,25
1256,UK police slammed over terror raid,fear,100
1257,Mogadishu residents flee blasts,fear,25
1258,Bomb kills 18 on military bus in Iran,sadness,100
1259,"'WarioWare,' Wii make perfect fit",joy,25
1260,U.S. at odds with cleric's aide,fear,25
1261,Desperate Iraqi mother relies on militia for help,sadness,100
1262,Full details of the EU report on Iran,surprise,25
1263,Singer on Cowell: Glad he was mean,joy,25
1264,Jones faces Europe meetings snub,sadness,25
1265,Beckham goal helps Real snatch win,joy,100
1266,Guinea: Plan offices close as country declares emergency,fear,100
1267,Japan's economy grows,joy,100
1268,United Nations peacekeepers raid Haitian slum,joy,25
1269,Work starts on Arctic seed vault,joy,100
1270,Social networking goes mobile,joy,100
1271,"Beauticians cut, curl, offer stroke-prevention info",joy,100
1272,"Siesta cuts risk of heart disease death, study finds",surprise,100
1273,Thomas Cook to merge with MyTravel,joy,25
1274,Nap your way to a successful career,joy,25
1275,Village buried by 100 inches of snow,sadness,100
1276,Oprah announces new book club pick,joy,100
1277,The science of love ... and lust,joy,25
1278,"Northeaster cancels flights, shuts schools",sadness,100
1279,Napping may be good for your heart,joy,100
1280,Ryan O'Neal injured son's girlfriend,sadness,100
1281,Chrysler's Valentine's Day massacre,sadness,100
1282,Madrid bombings trial begins,fear,100
1283,Fight starts over HPV vaccine,disgust,25
1284,Autos drive European gains,joy,100
1285,James Brown's partner can get her things,joy,25
1286,Auto show canceled,sadness,25
1287,UK luxury maker Burberry: 'Made in China'?,surprise,25
1288,On-the-job naps might cut heart risk,joy,100
1289,"No. 1 Florida survives Rupp Arena, streak hits 16",joy,100
1290,J.K. Rowling marks spot of 'Potter's' end,sadness,25
1291,Gronholm takes a commanding lead,joy,25
1292,Howard slams Obama on Iraq policy,anger,25
1293,Manila hints at ransom approval,sadness,25
1294,Champion Murray too good for Kim,joy,25
1295,"G7: Yen skates by, yuan singled out",sadness,25
1296,Gunman 'was Srebrenica survivor',surprise,25
1297,Cutting through the clutter to get things done,joy,25
1298,Mother: Lohan is doing 'great' in rehab,joy,100
1299,Who's going to win at the Grammys?,joy,25
1300,"Libby defense upsets judge, rests",surprise,25
1301,Breakup rings find new homes,sadness,25
1302,Gronholm ahead as Solberg crashes,joy,25
1303,'Norbit' a waste of Murphy,sadness,25
1304,Rocky start for Bangkok airport,surprise,25
1305,12 dead in Lebanese minibus bombings,sadness,100
1306,Sex torture claims hit Russia army,disgust,100
1307,Mega-marsupials once roamed Australia,surprise,100
1308,Rupert Murdoch's secret TiVo,surprise,25
1309,"UPDATE 1-Plane crashes at Moscow airport, no passengers",sadness,100
1310,HPV vaccination stirs heated debate in America,surprise,100
1311,Court TV: Accused killer tells jury a love story,surprise,100
1312,Whistle-blowing Web site exposed,surprise,25
1313,"Start late, retire rich",joy,25
1314,Somali PM vows to bring Islamists to justice,anger,25
1315,Swingers more common than most think,surprise,25
1316,Anna Nicole Smith fans mourn in cyberspace,sadness,100
1317,Antibiotic Ketek more dangerous than thought,fear,100
1318,Time to book your cruise,joy,100
1319,'Blazing Angels' for PS3 fails to soar,sadness,100
1320,North Korea aid demand stall talks,sadness,25
1321,Cartoon Network head steps down,sadness,100
1322,Malaysia aggressively wooing tourists,joy,100
1323,Anna Nicole Smith's Bahamas home seized,sadness,100
1324,Andromeda involved in galactic collision,surprise,100
1325,Rwanda mulling 3-kid limit for families,joy,25
1326,Wilkinson sets record in tame win,joy,100
1327,Army engineers say dam safe,joy,100
1328,France: Al Qaeda suspects arrested,fear,100
1329,Utah gunman survived Srebrenica,joy,25
1330,Creating a whole album in a month?,surprise,100
1331,India to test new nuclear missile,fear,100
1332,G7 to China: Ease exchange rate grip,surprise,25
1333,Hatton hands back IBF title again,joy,25
1334,"Bernanke: Economy healthy, but...",fear,25
1335,"Mickelson, Sutherland share lead",joy,25
1336,"Napping is good for your heart, study finds",joy,100
1337,Princess Masako author: No regrets,surprise,25
1338,Students use IM-lingo in essays,surprise,100
1339,Malaysia launches tourism campaign,joy,100
1340,Study: Africa's Internet gap getting wider,sadness,100
1341,Travel chaos as heavy snow hits UK,fear,25
1342,Paula Abdul: 'I have never been drunk',surprise,25
1343,Salmonella outbreak traced to peanut butter,fear,100
1344,Putin: U.S. force fostering nuke ambitions,fear,100
1345,"Nuke detectors to ring New York, official says",fear,100
1346,Double bus-bombing kills three in Lebanon,sadness,100
1347,Davydenko out as seeds scattered,surprise,25
1348,Obama: I'm running for president,joy,25
1349,Paterson boots Scotland to victory,joy,100
1350,"African-Americans are organ donors these days, but what about bone marrow?",surprise,25
1351,Study: On-the-job naps might help heart,joy,100
1352,"Guinea capital largely calm under curfew, marital law",fear,100
1353,Bosses sleeping on idea of letting workers take naps,surprise,100
1354,Teacher's porn conviction sparks tech debate,disgust,100
1355,Singapore pampers its waterfront promenade,joy,100
1356,Rwanda mulls three-child limit,surprise,25
1357,Samsung settles price-fixing lawsuit,joy,25
1358,"Radical cleric al-Sadr in Iran, U.S. insists",fear,25
1359,Reports: Harvard set to name first female president,joy,100
1360,Iraq unveils new security plans,surprise,25
1361,University offers support to New Orleans school,joy,100
1362,"Storm causes slick, icy roads",fear,100
1363,South Korea fire kills 10 foreigners,sadness,100
1364,Prehistoric lovers found locked in eternal embrace,surprise,100
1365,Charts: Is your city lean or lethargic?,surprise,25
1366,Peru leader questioned in massacre probe,sadness,25
1367,U.S. commander: Iraq not hopeless,joy,25
1368,Australian PM stands by Obama attack,joy,25
1369,Mardi Gras rebound in the offing for New Orleans?,joy,100
1370,Siestas may cut heart disease risk,joy,100
1371,"Oregon snorkeler mistaken for rodent, shot in face",sadness,100
1372,Petraeus takes command in Iraq,fear,25
1373,6 dead after Utah Mall shooting rampage,sadness,100
1374,Sharks kill four people in 'dull' year,sadness,100
1375,Record-shattering day on Wall St.,joy,100
1376,Comedian says government silences critics,sadness,25
1377,Rockers big winners at Brit Awards,joy,100
1378,Samba school leader killed before Rio carnival,sadness,100
1379,"Taiwan's 'Mr. Clean' indicted, steps down",sadness,100
1380,Woman fights to keep drunken driver in jail,anger,100
1381,Al Qaeda group calls for attacks on U.S. oil,fear,100
1382,Cousin: Gunman was Srebrenica survivor,sadness,25
