id,text,emotions
2700,"Before an examination: I had the fealing that I had not learned 
enough.",fear
2701,"Once when I was playing table tennis I was already sure that I 
would win , but at last I lost the game.",anger
2702,My grandfather's funeral.,sadness
2703,"In cinema I saw a film which showed how a person was torn out his 
guts when he was still alive.",disgust
2704,"When I had a psychical crisis, I met a girl, who told me that she 
had had almost the same problems and how she had finally overcome 
them.",joy
2705,"I had climbed on a cherry tree alone and there was a thick 
caterpillar beside my fingers. I feel disgusted by caterpillars 
and snakes. I was terribly afraid of the caterpillar crawling on 
my fingers. Out of the fear I was almost unable to climb down.",fear
2706,"A friend of mine told other people that I was a slattern (because 
of an occurence that had happened some time ago). When I heard 
about that I was very angry.",anger
2707,"My grandfather was seriously ill, he had only a few days left to 
live. I had always loved him, but never told him. When I saw him 
for the last time, I had the feeling that I had omitted so many 
things I could not do again. - There was a fly sitting on his 
forehead and he was too weak to drive it away. I was very sad 
when I saw that.",sadness
2708,"Normally my father never tells vulgar jokes, we do not speak 
about sexual things, too. But once he told such a vulgar joke, 
that I was really disgusted. He did not tell me, but some of his 
friends, but I was present.",disgust
2709,"Unexpectedly I met some persons who I like very much. 
Spontaneously they invited me and integrated me within their 
group, although it was late in the evening.",joy
2710,"After a footballmatch I went home by car, a friend drove. I did 
not realize that he was drunk until we were in the car. He was 
madly racing. Several times we were in dangerous situations and I 
told him to be cautious, but he did not care.",fear
2711,"A friend of mine uses butter instead of oil when he is cooking. I 
am always angry about that, because it is an unnecessary luxury. 
Recently we both were cooking and he wanted to use butter again. 
When I had already put the oil into the pan, he poured it out 
again and put the butter into the pan.",anger
2712,"After some friends had come to see me. They had stayed for 
several days and we had got on very well. When they had left, I 
had a feeling of emptyness.",sadness
2713,"I had a quarrel with a friend who lived with me in the same flat. 
He moved out. Before he went he invited me and some friends for a 
drink. At last he was totally drunk and smelled disgusting. 
Besides, he told lies about us and behaved as if he was to be 
pitied.",disgust
2714,"I had a quarrel with my fiancT. When he admitted his fault, 
everything was allright. It was then for the first time that he 
surprised me with coffee and cake and a bunch of flowers.",joy
2715,"After my boy-friend had beaten me for the first time, I always 
trembled when somebody knocked on my door or when I heard steps 
coming nearer.",fear
2716,"I had not eaten anything for 2 days to be able to pay the fine 
for my fiancT. But he stayed in another town and spent one 
thousand shillings in the restaurant during the same time.",anger
2717,"I had to give up my love, because it did not work out well.",sadness
2718,I was insulted without a reason by a drunk man.,disgust
2719,"My sister had a daughter. I saw the baby for the first time 
through a pane of glass and she looked at me.",joy
2720,"My mother, my sister and I were sitting in the sitting room and 
watching a film on TV. My father came home drunk and told us to 
turn off. When we did not do that he switched off the fuse and 
started shouting. We were sitting in the dark and I was afraid 
that he would do us a harm.",fear
2721,"I bought an aquarium which made me much pleasure. I was watching 
the fish when my father came in and asked me how much I had payed 
for it. He said he would not pay for the current that it would 
require.",anger
2722,"When I was 9 years old, I got a cat, but after 3 days he died. I 
was very sad, because I had nursed him and taken him to the 
veterinary's - but in vain. Although I had had him only for a 
short time I had liked him very much.",sadness
2723,"When my grandmother was about 80 years old, she lived with us for 
several years. I saw her illness. I did not even want to breath 
the air that smelled of her presence.",disgust
2724,"When I was 17, I had a mystic vision. I melted into a dazzling 
light, which omitted perfect love. The physical experience became 
unimportant, I heard or saw the words ""overcome egotism"". The 
feeling of joy remained for month after that experience.",joy
2725,"When we had swimming instruction, we had to take a header from 
the springboard. I usually refused to do that, but at least I was 
forced to.",fear
2726,"When I played in a chess championship, I was disturbed by other 
people. I asked them to be quiet, but in vain.",anger
2727,When my flute-teacher was replaced by a new one.,sadness
2728,"When I was a child, I was sometimes forced to eat things that 
disgusted me.",disgust
2729,"When I was in a situation which seemed hopeless for me, I moved 
back to my parents. For my father it went without saying anything 
(normally he ofter grumbles at me).",joy
2730,"I lived in a flat with a couple. The woman was so jealous of me, 
that she sometimes had crying fits. Eventually her husband could 
not stand that any more and wanted to kill me.",fear
2731,"I have a very big family. At my grandmother's funeral we all met 
and everybody pretended mourning. In reality it was like a 
fashion-show: everybody wanted to show himself.",anger
2732,Often a dog which is treated very badly by his owner comes to us.,sadness
2733,"After a pleasant evening with friends in my flat, one of them did 
not want to leave, because he wanted to sleep with me. He said 
that he had fallen in love with me, that he felt alone and so on.",disgust
2734,"When I heard that I had passed my final examination at school 
(with success).",joy
2735,Before my final examination.,fear
2736,When my mother kept me in leading-strings.,anger
2737,When my father died.,sadness
2738,When I worked at the life-saving sevice and saw the first exitus.,disgust
2739,"Last year I went to see friends in Yugoslavia - two girls with 
whom I get along very well.",joy
2740,"Before I went to the urologist's I was afraid for several 
reasons: because it was for the first time, because the medical 
check-up might be painful, because of the uncertainty and because 
someone had informed me about it.",fear
2741,"My girl-friend did not understand me; I was angry with myself 
because I had problems when we seperated - I could not resign 
myself to it.",anger
2742,A friend who was 22 years old died.,sadness
2743,"When I was in the army, we got a certain dish for dinner that I 
do not like at all. We were not obliged to eat, but I was very 
hungry.",disgust
2744,When we got a young dog.,joy
2745,I was afraid before I went to the doctor's.,fear
2746,I had an accident with damage to the car body.,anger
2747,My dog died of a cerebral tumor.,sadness
2748,"When I worked at the life-saving service I was disgusted by a 
patient whose outward appearance was distasteful.",disgust
2749,"When I heard that a good friend, who had been abroad for a long 
time, would come and see me.",joy
2750,"When I had my first oral examination after a long time; 
especially one day before the examination when I had the feeling 
that I had not studied enough and had not enough time to make up 
for it.",fear
2751,"I heard friends grumbling at me in an adjoining room, although 
they had behaved in a friendly way when I was present.",anger
2752,When my brother died.,sadness
2753,"I read about a murderer who brutalized his victims by cutting 
open their stomaches and taking out their bowels.",disgust
2754,I unexpectedly got a present from my father.,joy
2755,"When I had to go through lonely streets in the middle of the 
night.",fear
2756,"My boy-friend had promised me to come home at about 10 p.m. He 
did not return until midnight and had consumed a lot of alcohol.",anger
2757,"A relative, whom I like very much, left for the United States.",sadness
2758,"When I was walking on the street, I slipped on the dung of a dog. 
I did not fall down, but I felt disgusted by the bad smell on my 
sole.",disgust
2759,"I met again a very good friend whom I had not seen for a long 
time.",joy
2760,"I got lost in a foreign town. I did not know the language of that 
country and it took me hours to meet my friends again.",fear
2761,"A friend had promised to get me a book which was very important 
for my work, but she forgot it.",anger
2762,"My dog, whom I had had for eleven years, died. I watched his 
soporification.",sadness
2763,"A drunk man bumped into me and wanted to grip me. Fortunately I 
was able to break loose.",disgust
2764,"My friend came to see me after she had stayed abroad. I waited at 
the station.",joy
2765,"After a motor accident (I was the frong-seat-passenger) I spit 
blood.",fear
2766,"At an office an application that I had made was turned down 
because of a scrupulous interpretation of the rules.",anger
2767,My uncle died - I felt sad at the funeral.,sadness
2768,"I saw a drunk man tottering behind his wife and insulting her 
awfully.",disgust
2769,"I bought a Christmas present for my girl-friend. On my way home I 
was really glad about having found such a suitable thing.",joy
2770,"My fear appeared in the form of jealousy. I was afraid that my 
girl-friend had fallen in love with another man, I was afraid to 
lose her.",fear
2771,"I was angry when I watched a ski-race. All the Austrian skiers 
dropped out.",anger
2772,"During my holiday I met again a friend who had tried to commit 
suicide. She had just left hospital, her lips were trembling, she 
looked miserable.",sadness
2773,"On my way home in the middle of the night I saw a drunk man and a 
woman who were quarreling, beating each other, shouting and so 
on. I felt disgusted especially because they treated each other 
in such a degrading way.",disgust
2774,"I went to fetch my girl-friend at the station. When the train 
arrived and I saw her descending and running up to me, I felt 
glad.",joy
2775,"When I wanted to go into a house, there was suddenly a big dog 
standing beside me. It was hardly moving, but I did not know how 
it would react later on.",fear
2776,"My father had bought too many goods for his shop, there was not 
enough space to store them.",anger
2777,A friend died of cancer when he was 18 years old.,sadness
2778,"At a party I saw two persons having a fight. The aggressions and 
the hate between these persons produced an unpleasant impression 
on me.",disgust
2779,"On my birthday a friend came to see me unexpectedly and brought 
me flowers. I usually do not see her very often.",joy
2780,"I was awakened by a dream in the middle of the night. I dreamt 
that a stranger was in my house.",fear
2781,"My boy-friend had promised me to come an 10 a.m. - he was 3 hours 
late.",anger
2782,When I heard about a murder of a 16-year-old girl.,disgust
2783,"After I had been away for a long time a friend told me that I had 
passed all my written examinations.",joy
2784,"Recently my younger brother disappeared for two days without 
leaving a trace. Usually he tells me when he wants to do 
something like that, therefore I was afraid that something had 
happened to him.",fear
2785,"I played chess with my 12-year-old brother. I made a stupid 
mistake - and he won!",anger
2786,"It was only once that I really felt sad: at my grandfather's 
funeral (after a long time of suffering he had died of cancer).",sadness
2787,"3 years ago I served in the army. Once a collegue denounced me 
because of a delict, which is usually committed. I was arrested 
for 3 days. I still detest this man.",disgust
2788,"After I had had a disappointment in my private life, my friend, 
who studies in Vienna, came to see me spontaneously.",joy
2789,Before an oral examination - which I did not take eventually.,fear
2790,"A friend had promised me to give me a lift to Graz. To be sure I 
called her before we went. She told me that she had just promised 
another person to give him a lift.",anger
2791,I am sad because some relations to friends are not very good.,sadness
2792,"I think I have hardly had a situation where I felt disgusted. 
Perhaps once, when I saw a big spider.",disgust
2793,Seeing relations from overseas after a few years.,joy
2794,"Unknown person knocking repeatedly on backdoor when no one else 
was at home.",fear
2795,Boyfriend "chatting up" another girl.,anger
2796,A friend breaking up with her boyfriend.,sadness
2797,"Accidentally seeing a friend in a compromising situation with a 
stranger.",disgust
2798,Emotional reassurances by spouse.,joy
2799,Movement in bush late at night while camping.,fear
2800,Heated discussion with spouse concerning new house.,anger
2801,Loss of close relative.,sadness
2802,The price I was charged for work on my car.,disgust
2803,A night spent with a group of friends.,joy
2804,"A car came very close to hitting me whilst I was crossing the 
street.",fear
2805,"A friend whom I had gone out of my way to do something for did 
not bother to acknowledge my efforts, and treated me badly 
thereafter.",anger
2806,"A girlfriend ended our relationship in an abrupt and unexpected 
manner.",sadness
2807,"A friend once reacted childishly (he is 23 yearrs old) to my not 
responding in his favour to a request, that is: he asked me for 
some money I refused, and his reaction was quite childish.",disgust
2808,Getting a phone call from a very old friend.,joy
2809,Before giving a seminar to a rather large audience.,fear
2810,"Being stopped by the police for a traffic offence which I don't 
think I committed.",anger
2811,Death of a parent.,sadness
2812,"At a social event when none of the guests would help to serve 
food or clear tables. It was all beneath them.",disgust
2813,"The more than satisfactory result of a recently-completed 
university subject was communicated to me by phone.",joy
2814,"I was a passenger in a jumbo-jet which was accelerating down the 
runway and almost at the point of take-off, when the pilot 
suddenly braked and put the engines into reverse thrust, in an 
obviously urgent attempt to stop the aircraft. The hostesses show 
signs of concern and my first thought was that something was on 
the runway in our path and that we were in danger of hitting it.",fear
2815,"A person walking his dog allowed it to defecate on the footpath 
outside my house. Although it had happened before, this was the 
first time I had witnessed it. All the skills I had learnt from 
PY 263 were thrown out the window when his indifference to my 
protestation was obvious to me.",anger
2816,"While walking through an old mining area, I unwittingly disturbed 
a wallaby which, in its resultant flight, accidentally fell down 
a deep mine shaft. On investigation it seemed uninjured, but it 
was impossible for the wallaby to get out, and also for me to get 
it out of the shaft. To prevent its suffering a slow death, I 
shot it.",sadness
2817,"A colleague and I were sitting on a bench next to an old man in a 
shopping centre. the old man coughed and spluttered somewhat, 
then with his fingers removed the resultant phlegm and mucous 
from his mouth, and transferred it onto the armrest of the 
bench.",disgust
2818,"On my birthday, when a very close friend sent me a huge bouquet 
of flowers.",joy
2819,"When I heard that there had been some women raped at uni, just 
near where I usually park my car and walk by myself at night. 
Although I wasn't in danger it unnerved me for days and I was 
fearful whenever walking through the area.",fear
2820,"When the person I am going out with let me down in a situation 
that I was depending on them, and didn't show respect or care.",anger
2821,"When I found out that a person I went to school with had died in 
a car accident.",sadness
2822,"When I heard about the way a parent of a friend had mistreated 
him, and caused a great instability.",disgust
2823,"One of my friends and I had breakfast in a restaurant. It was 
spontaneous and lots of fun.",joy
2824,"I was walking home late at night from lectures and someone 
deliberately started following me. It was dark and I was scared.",fear
2825,"At one of my close friends saying she didn't like the way I am 
nice to people I don't know, or who have been nasty to me.",anger
2826,"Leaving Melbourne to move interstate - leaving relatives and 
friends behind.",sadness
2827,"Disgust at a girl I know for continually feeling sorry for herself 
and never acting positively to do something about her problems.",disgust
2828,"I noticed that Meryl Streep and I had similar cheekbones and jaw 
structure.",joy
2829,I do not recall being scared in the near past.,fear
2830,As for disgust.,anger
2831,"Girl I was fond of did not initiate conversation as I expected in 
tutorial.",sadness
2832,"I realised that someone was insidiously attempting to shit me off 
I was disgusted with him for doing so, because I afforded him 
with no excuse to do so.",disgust
2833,When I was complimented and called "delightful".,joy
2834,When my mother was angry with me over my friends and boyfriend.,fear
2835,Anger towards my lover for being late.,anger
2836,The death of my twin sister - suicide.,sadness
2837,"Disgust with myself for consistently making foolish errors in 
communicating with others (asking for 1/2 Kg of nuts when I only 
wanted 50 g).",disgust
2838,"My current lover and I had been very busy with work and study and 
had not had time alone together for almost a month until one 
afternoon recently when we made love for hours and then showered 
and ate together.",joy
2839,"A workmate and I had been antagonistic with each other for some 
weeks - he had reacted violently to my criticisms of his work 
standards.",fear
2840,"I had been having a heated argument with a lover - whose 
intention was that we should marry in the near future - and was 
rejected by her when I started to cry. When I stopped crying for 
a moment she said ""There, have you got it all out now ?"".",anger
2841,"I was alone in my parents' house, having made plans to spend the 
afternoon with a lover (plans which the lover cancelled), 
watching a movie and considering my life and circumstances - 
pressures of examinations in particular.",sadness
2842,"I discovered some pornographic literature in a workmates drawers. 
The literature featured pictures of naked women defecating on one 
another.",disgust
2843,Blank.,joy
2844,"After going through a glass door, I sustained a number of serious 
cuts which were gaping open.",fear
2845,"The mother of a person with whom we had been sharing a housing 
accused me of trying to rip her off over payment of bills in the 
house.",anger
2846,"Watching ""11 am"". They had a programme on the starving refugees. 
Their plight was a source of sadness for me.",sadness
2847,"A girl with whom I was staying having sex with a person for about 
3 nights running, and then with his brother the following night, 
and back again.",disgust
2848,"When my boyfriend last told me he loved me after I gave him an 
impulsive kiss.",joy
2849,"When my boyfriend was leaving to go home one night, I had a very 
deep sense of uneasiness and an unwarranted fear that I wouldn't 
see him again.",fear
2850,"Anger with boyfriend's best friend for alienating me and blaming 
me for personality changes in my boyfriend and changes in my 
boyfriend's attitude to him and his obvious egoistical attitude 
himself in doing so. I also lost one of my best friends - his 
girlfriend.",anger
2851,"Death of paternal grandmother to whom I was very close - died of 
cancer.",sadness
2852,"Disgust with oneself after being intoxicated enough to go to bed 
with a stranger.",disgust
2853,"When I thought that my high school love and I had a mutual 
emotion.",joy
2854,"I was on my surf ski. Rather large waves to strong current 
separated me from my ski and we both began to drift slowly 
(actually rather quickly) away to sea. The direction I was 
drifting in was taking me straight over a reef on which rather 
large sharks were constantly being caught. (I was alone with no 
one to help me).",fear
2855,"I was enjoying the company of bird life while I was eating lunch 
in a park when a group of people began throwing sticks at some of 
the birds - for no reason other than the satisfaction of seeing 
them being scared away.",anger
2856,"When I left my sister's house after staying there for a few days. 
She has two little boys, and they are very warm people (the 
family). At the time, I was in need of this sort of contact, and 
I grew very fond of children (no, I'm not a paedophiliac).",sadness
2857,When my father revealed inconsistent morals.,disgust
2858,I'd just got the top mark in an exam.,joy
2859,"My brother and I were driving to Brisbane when he drove back onto 
the road, perhaps cutting off another car but not noticeable - 
this driver did his best to drive us off the road for about 1/2 
an hour.",fear
2860,"I was at the corner shop, which I patronise regularly I had only 
a $ 50 note and I purchased about $ 3 worth of goods that I 
really needed - the keeper made sarcastic remarks to others about 
people using him to cash notes.",anger
2861,"My mother died of cancer after a 4 year illness - I think the 
most pregnant moment of sadness was the next morning, just as the 
sun rose.",sadness
2862,A lecturer in great detail spoke about his sexual experiences.,disgust
2863,"On a sailing boat at night, under a full moon, listening to Pink 
Floyd, drinking good wine, with good company, the boat being 
steered by autopilot, and a full eclipse of the moon.",joy
2864,Fear of sexual overtures from a close relative in the family.,fear
2865,"When my rights to use a shared house had been usurped by 
co-owners out of pure selfishness.",anger
2866,"At rejection / being ignored by a loved person held in great 
esteem.",sadness
2867,Viewing the nuclear war film "Threads".,disgust
2868,Family member survived an operation.,joy
2869,"I was walking to my car at night and thought that I was being 
followed.",fear
2870,"I walked in on a teenage patient of mine (I work in a hospital) 
as he was going through my office drawers and he had removed 
money from my purse.",anger
2871,Death of grandmother.,sadness
2872,When I became aware that an acquaintance had stolen from friends.,disgust
2873,A close married friend has just had his first child.,joy
2874,"Stranded in the north of Fraser Island with a submerged 4 WD hire 
vehicle.",fear
2875,"Not being alowed on a school camp with the class I'd been in for 
11 years (I had stayed down due to illness)",anger
2876,"At the funeral of a friend about 20 years old, who was killed in 
a hit-and-run motorcycle accident.",sadness
2877,"A female friend was violently ill on the return journey from a 
wedding reception we attended. Getting her out of the car when 
home took quite a while.",disgust
2878,Having received an offer to do post-graduate work.,joy
2879,"Taking a trip to crocokile country I fell out of the boat and was 
motivated by fear of being eaten to perform great swimming feats.",fear
2880,"Last night - finding that someone in the house had eaten an 
entire packet of almonds I had bought for a family treat.",anger
2881,"The loss of my father as he died of a massive and sudden heart 
attack.",sadness
2882,"When after a party celebrating a friend's 21st birthday - upon 
leaving I found 10 people outside throwing up and further 4 
unconscious.",disgust
2883,"Winning a tight tennis match. One set to play, and the team was 
behind by 3 games. We won the last set 6-2 and won the match by a 
game.",joy
2884,"When at school, I threw a duster at another child and hit him in 
the head. The blow caused a flesh wound and I was afraid of what 
would happen to me when the teacher found out the circumstances.",fear
2885,"Finding that a subordinate at work was still not willing to 
cooperate after discussions to try and resolve an attitude 
problem.",anger
2886,Death of the family dog.,sadness
2887,"We had friends to dinner and one of them threw a beer bottle in 
the air, and it bounced on an expensive table and damaged the 
table .The person did not apologise.",disgust
2888,"Arriving in New Zealand as a teenager - first overseas trip - 
something ""exhilarating"" about the change of scenery etc.",joy
2889,"As a child (i.e. 5-7) hiking in reasonably rugged bush and 
becoming lost for a duration of 5-7 hours.",fear
2890,"Following an argument with my brother, he broke my golf clubs.",anger
2891,"Leaving the house myself and a female friend had shared for 6-8 
months because of the friendship which developed and our approach 
to each other in occasional instances of several personal crises.",sadness
2892,"Discovering a good friend had lied to me, resulting in a 
detrimental relationship with another person.",disgust
2893,"Going to a friend's wedding and seeing many of my old friends 
whom I had known before I moved to a new district five years 
previously.",joy
2894,"Car accident. Travelling as a passenger along narrow bitumen road 
at night - trying to overtake semi-trailer. The truck pulled over 
onto our side and we hit the wet dirt, swerved back into the 
truck, back onto the verge, over a guide post and into a ditch.",fear
2895,"At school when I had a shouting argument with a friend over my 
ability to carry out a particular duty in the correct way without 
harming her.",anger
2896,"Looking up end-of-semester results, and finding I'd failed three 
out of seven (subjects).",sadness
2897,"When I found out some family friends were embezzelling the 
company they worked for - using company petrol and food supplies 
and claiming furniture and crockery.",disgust
2898,"After being away on a holiday for 2 months, a friend, who lived 
interstate, had remembered when I'd get back and phoned to 
welcome me home on the night of my arrival.",joy
2899,Walking along with a dog barking at you and following you.,fear
2900,"Doing a group assignment and being left to do all the work and 
take the blame for any mistakes.",anger
2901,"After training for an Australian championship competition for a 
year and then injuring myself 2 weeks before the competiotion.",sadness
2902,Someone ruining someone's property just for the fun of it.,disgust
2903,"I was captain of the school swimming team. The team was only two 
points in front before the last relay. We won the relay, which I 
swam in, and thus my team won the championship.",joy
2904,"I was in about Grade 7, I came home from school one day and was told 
that my mother had skin cancer and would have to go to the hospital 
straight away.",fear
2905,"Brother provoked anger. It was when mother and father were away 
and we had to look after ourselves. He accused me of being 
selfish and a snob.",anger
2906,"Shifted from Melbourne to Brisbane. All my old school friends 
gave me a party and I had to say good-bye to them all.",sadness
2907,"Was picking up my father from work and on passing through the 
Valley watched three prostitutes walk up and down waiting for 
someone to pick them up. Clothing was disgusting.",disgust
2908,"When I won the ""Under 18"" Showjumping at the Brookfield Show. The 
competition was very stiff and there were many riders competing.",joy
2909,"When I was on holiday, walking back to where I was staying, at 
night, and two men started closely following me. There was nobody 
around that I could run to.",fear
2910,"When my mother and father split up I was angry: I felt deprived 
and ""different"" from other children at school.",anger
2911,"I was terribly upset when my kitten got hit by a car. He didn't 
die, but for several weeks we thought he might have to be put 
down.",sadness
2912,"When I heard that one of my good friends, when at a party, had 
got herself involved with some very undesirable characters and 
was experimenting with drugs.",disgust
2913,"Day I received my T.E. score and acceptance into my chosen course. 
",joy
2914,First day at University (I didn't know what to expect).,fear
2915,"At a school dance when my supposed ""best friend"" kept walking 
away from me whenever I came near her.",anger
2916,"At end of school - function to ""celebrate"" ? Leaving friends who 
I'd known for up to 12 years.",sadness
2917,"While watching a film of an experimental operation on a cat's 
brain in which the cat had metal pieces protruding from its eyes, 
mouth etc. to keep the head stable while being cut open.",disgust
2918,"Eating biscuits and drinking Milo (Chocolate energy drink made 
with milk and usually drunk warm) with my friend at College. We 
get on really well, don't withold any feelings about each other's 
friends and are pretty good at cheering each other up when we are 
homesick.",joy
2919,"Going to a disco by myself to wait for some friends. We had 
separated and hadn't planned where to meet. I wasn't sure if they 
were even going to this place so I felt very conscious of being 
alone.",fear
2920,"A person ignored my advice, did not pay any attention to what was 
saying. She acted as though I wasn't even there. We were doing 
group work so everybody had the right to speak yet she just 
ignored me. She made me feel insignificant.",anger
2921,"A friend of mine is having psychiatric problems because of his 
mother's death ages ago. He is really quiet and because it 
relates back to his childhood I feel sadness for him. He doesn't 
lead a normal life and it just seems unfair.",sadness
2922,"At school, when the only thing people my age could think of was getting 
rolling drunk. They couldn't have a good time without firstly 
getting drunk.",disgust
2923,"Getting a good mark for a subject I had worked hard at but 
expected only a moderate mark.",joy
2924,"When cleaning up a pile of junk under our house, a huge spider (a 
""Jungle Spider"") ran out near me. (I do not like even small 
spiders).",fear
2925,"At the hardware store, trying to convert Imperial to Metric 
measurements, I made a mistake, and didn't buy enough tiles for 
the bathroom. I was angry at myself, because I hope to be a Maths 
teacher.",anger
2926,My father died last year after an 8-week severe illness.,sadness
2927,"During the PY 102 film session on Tuesday, one of the films shown 
was of an experiment on a live cat involving strapping it into a 
machine for possibly days, and doing things to its brain.",disgust
2928,"I got a good reaction from my tutor and tutorial group for a 
presentation I'd given that I was very worried about.",joy
2929,"A man was yelling outside my window at 3.00 am, yelling threats, 
though not to me.",fear
2930,"Going away for the weekend, leaving my College room open - when I 
returned several friends had had a party there, leaving the mess.",anger
2931,Passing away of my father.,sadness
2932,"At a party where the boys were telling revolting stories about 
the girls they'd been with.",disgust
2933,"When I received the results from my final examination - Higher 
School Certificate - and received a mark that was beyond my 
wildest expectations.",joy
2934,"Walking around the University at night by myself, having been 
previously warned of rapes, etc.",fear
2935,"When I received the mark well above requirements for the course I 
wanted to enter, yet I was not accepted - anger at the injustice 
of it, because I didn't receive early release of H.S.C. marks.",anger
2936,"When I left all my friends at school (break up) knowing we would 
probably all go our separate ways, and none see one another for a 
long time.",sadness
2937,"At my father, when he yelled and accused my sister's friend (over 
the phone) of doing something he didn't do, or know anything 
about.",disgust
2938,Got through first semester University.,joy
2939,"At the tender age of eleven a friend and I left a party and 
proceeded to walk through dark and secluded streets of a bad 
neighborhood to find a telephone (recent spate of Horror Movie 
watching had occurred).",fear
2940,"In a situation whereby a friend's actions were deliberately 
against my wishes and (with) no regard to my feelings.",anger
2941,"I broke up with my boyfriend of seven months, but it was a very 
""indepth"" relationship and so after feelings of grief and loss 
were over I felt an immense sadness.",sadness
2942,"A situation where I ignored my beliefs and principles for a trip 
of whimsy.",disgust
2943,Getting back with my boyfriend after a year away - apart.,joy
2944,Having my luggage checked at Customs.,fear
2945,When a friend wouldn't speak to me and wouldn't tell me why.,anger
2946,Thinking about friends overseas.,sadness
2947,Hearing of a filthy situation over the phone.,disgust
2948,"When I opened my TE Score envelope, and saw I got into 
Physiotherapy.",joy
2949,When I was bringing in the shopping and nearly stood on a snake.,fear
2950,When I was accused of "bitching" about best friend.,anger
2951,"At our Senior dinner - separated from school friends, nothing 
will ever be the same again.",sadness
2952,At a night club watching little tarts trying to earn a living.,disgust
2953,"When my brothers had passed all of their exams and were able to 
graduate from their courses.",joy
2954,When I was caught in an elevator and it got stuck between floors.,fear
2955,When I was put into a tennis team below my standard.,anger
2956,When my father died.,sadness
2957,"When I have seen people very drunk and making fools of 
themselves.",disgust
2958,"When my present boyfriend asked me initially to go out with him I 
had waited a long time for this to occur.",joy
2959,"When somebody broke into our home one night when my mother was 
out, and my sister and I had just gone to bed.",fear
2960,"When my sister lost my favourite jumper at a party and failed to 
tell me for several days after it happened.",anger
2961,"When my father passed away of cancer, I was extremely saddened. 
He was not very old, which made matters worse. The actual death 
was horrendous, but the moving funeral saddened me more so.",sadness
2962,"When walking along the beach with my boyfriend, we saw 2 people 
having sex on the sand dunes in full view of everyone. It was the 
fact that they chose that area in which to have sex, that 
disgusted me.",disgust
2963,"I stayed at the Coast for a weekend with friends. My brother came 
to drive me home, but was rude, and in a hurry to rejoin his 
friends. I was embarrassed because the family involved was 
extremely nice, and hospitable to him.",disgust
2964,"When I saw my brother in Church, and publically accept Jesus 
Christ as his saviour and Lord.",joy
2965,"I was seven years old and swimming outside the flags at the Gold 
Coast. I was caught in a rip and taken out about 100 m. I 
couldn't swim too well, but an older friend (17) swam out and 
saved me.",fear
2966,"While at school I had to write an essay for doing something wrong 
that I didn't do. I wrote the essay about how I was mistreated and 
got Saturday morning detention along with a few other kids, but 
they didn't show up.",anger
2967,When one of my closest friends died unexpectantly.,sadness
2968,"When I saw a male engineer one year and came back to find he was 
now a female (I don't know it/them personally).",disgust
2969,"On holidays - just driving along a road beautiful scenery. Just 
with my boyfriend - not really talking but just feeling 
overwhelmed.",joy
2970,Good news about a sick relative.,joy
2971,Walking in the dark by myself.,fear
2972,"Getting terrible meals, but paying heaps for them.",anger
2973,When felt lonely about writing my family.,sadness
2974,Person talking about a situation while eating.,disgust
2975,"When I received my TE Score and my acceptance from University - 
it had been a goal since I left the bank a year earlier.",joy
2976,Every time I see a spider or a snake.,fear
2977,"My younger brother and I had been fighting over the TV/Video. He 
kept on turning it on and off every 2 seconds and was not 
listening to my authority and was being cheeky. We fought and I 
ended up in tears - he'd won.",anger
2978,The first time I left home.,sadness
2979,"On a camp - boys and girls in one cabin. One guy forced himself 
upon another girl and was having intercourse, while the girl in 
the bunk beneath was pretending to be asleep and not be ill.",disgust
2980,"Can't remember specific event - besides just being moderately 
happy until a year or so ago.",joy
2981,Left alone in dark when young.,fear
2982,Can't remember exact example.,anger
2983,Close relative is dying of cancer - found out last week.,sadness
2984,"Doctors ignored relative who complained about pain, and is now 
dying of cancer.",disgust
2985,After the fact that made me ashamed I felt sadness.,sadness
2986,"A person that eat half of a cockroach in a cake without knowing 
it.",disgust
2987,"When finally I found a place to live, I felt relieved, predicting 
changes in my life, and I became happy.",joy
2988,When I dreamed that I was being attacked by a friend.,fear
2989,When I was left by the person I loved without any reason.,anger
2990,To fight with a sister and to know that she doesn't care.,sadness
2991,To be kissed by soembody I didn't expect to.,disgust
2992,"I felt it when I received a letter telling that I had been 
classified in a national concourse of p... I felt happy and 
vanity about it.",joy
2993,"I felt fear when once I was asleep and dreamed that I was dying 
asfixiated by a cardiac attack, I was afraid and woke up 
desperate. Altough I wasn't afraid of death I was afraid.",fear
2994,"I feel it when I see that somebody is traying to made a stupid of 
me.",anger
2995,"I felt it when I was at home and saw a discussion without sense 
between my parents.",sadness
2996,"When I see all the putridness of people. The fact is the catarrh 
and spits that whash the streets of S.Paulo.",disgust
2997,When I asked my girlfriend to marry me.,joy
2998,"When I almost drowned myself in the municipal swimming pool that 
I use to go almost not excaping.",fear
2999,"I was with my girlfriend when some guys that I don't like made 
fuss at my girl.",anger
3000,The death of my grandfather.,sadness
3001,"To go through the underground way at suburb station of LAPA. Poor 
people and the ambulants badly dressed up in a passage badly 
kept.",disgust
3002,When I met a friend that I hadn't seen for some time.,joy
3003,When I got in jungle where there was a great number of snakes.,fear
3004,When an unknown person provoked me verbaly and physically.,anger
3005,When my team lost a championship.,sadness
3006,"A dirty person, smelling bad and unknown laying on me.",disgust
